Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport
3.65,80.0,Không,0,1,4.5,18.0,1,16.044107,108.2060114, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,4,5.004469849198954,1.824090898313722,1.4943158010706779
1.65,55.0,Không,0,1,4.5,14.0,1,16.0595231,108.179155, Trường Chinh,Hòa An,cẩm lệ,2,7.342261974734708,3.4761945440084063,2.528594798354249
2.7,120.0,Không,0,1,5.0,24.0,2,16.0912421,108.2445524, Ngô Quyền,Thọ Quang,sơn trà,3,2.933658679472832,4.9607252355791065,5.8533697970942535
3.15,100.0,Không,0,1,4.5,22.0,2,16.0723048,108.1472133, Đồng Kè,Hòa Khánh Bắc,liên chiểu,6,10.766967754382824,7.034231089625177,6.163786505545406
1.85,120.0,Không,0,1,5.0,24.0,1,16.0031472,108.1876854, Nguyễn Như Đỗ,Hòa Thọ Tây,cẩm lệ,2,9.366062087864112,6.759358797217937,6.194398151067429
3.69,70.0,Không,0,1,4.5,16.0,2,16.0583615,108.1683251, Tô Hiệu,Hòa Minh,liên chiểu,6,8.507768670810812,4.637246247012794,3.6767147568359637
3.65,90.0,Không,0,1,5.0,18.0,3,16.0392505,108.1852671, Tôn Đản,Hòa Phát,cẩm lệ,2,7.243350763046908,3.6151117691300856,2.723808498087963
2.83,110.0,Không,0,1,5.0,22.0,2,16.0756243,108.2319079, Ngô Quyền,An Hải Bắc,sơn trà,3,2.0522137939375127,2.796568797472516,3.733505998421484
1.49,36.0,Tây,0,1,4.1,8.78048780487805,2,16.0751042,108.2073603, Trần Cao Vân,Tam Thuận,thanh khê,7,4.446100836465397,1.7687584978483872,2.042094465794425
5.35,125.0,Không,1,1,5.0,25.0,2,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,2,7.905836607919737,5.343723328342092,4.853666284353989
3.9,100.0,Không,1,1,5.0,20.0,2,16.0003372,108.2132929, Lỗ Giáng 6,Hòa Xuân,cẩm lệ,2,8.029127266028906,6.567619091972675,6.3962359635519785
6.35,110.0,Không,1,1,5.5,20.0,3,16.0172054,108.2084021, Phan Văn Trị,Khuê Trung,cẩm lệ,2,6.737453259158979,4.711399097584559,4.470048515679327
5.8,100.0,Không,1,1,5.0,20.0,2,16.0140539,108.2065002, Đặng Văn Ngữ,Khuê Trung,cẩm lệ,2,7.137386580316552,5.077269085625017,4.794029631415255
8.5,100.0,Không,1,1,5.0,20.0,4,16.025345,108.2121536, Bình Hòa 4,Khuê Trung,cẩm lệ,2,5.787561027724534,3.7983027382586436,3.6702146649684217
6.0,110.0,Không,1,1,5.0,22.0,1,16.0063777,108.2078822, Phạm Hùng,Hòa Xuân,cẩm lệ,2,7.742359078689389,5.910516326332974,5.653504684737835
4.15,80.0,Không,1,1,5.0,16.0,3,16.0221996,108.2129834, Bình Hòa 14,Khuê Trung,cẩm lệ,2,5.999896146427057,4.148459751680958,4.0292800065276175
4.9,100.0,Không,1,1,5.0,20.0,3,16.0214579,108.1974153, Nguyễn Khoa Chiêm,Hòa Thọ Đông,cẩm lệ,2,7.202834201160636,4.493786762439407,3.996799432333303
7.5,75.0,Không,1,1,5.7,13.0,2,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.5626070190734715,3.976662923297844,3.9759391368219577
5.0,120.0,Không,1,1,5.0,24.0,3,16.0198819,108.1968795, Hoàng Đạo Thúy,Hòa Thọ Đông,cẩm lệ,2,7.362495333947553,4.67730194197463,4.177651059850487
4.8,67.0,Không,1,1,11.07,6.91,4,16.0227751,108.200433, Trường Chinh,Hòa Thọ Đông,cẩm lệ,2,6.865870059732111,4.254857679806927,3.818833798247972
18.8,170.0,Đông,1,1,5.0,34.0,4,16.0524115,108.2090289, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,4,4.346895782169306,0.8500454561579067,0.8639978075900642
4.4,95.0,Không,1,1,5.0,19.0,3,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,2,6.975815789478457,4.412896672312063,3.984146342579829
3.9,90.0,Không,1,1,5.0,18.0,3,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,2,6.975815789478457,4.412896672312063,3.984146342579829
3.55,75.0,Không,1,1,5.0,15.0,2,16.0209382,108.2085527, Nguyễn Nho Túy,Khuê Trung,cẩm lệ,2,6.408548915209292,4.2982891399878405,4.0637579306465055
14.0,90.0,Không,1,1,7.0,15.0,2,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,2,7.905836607919737,5.343723328342092,4.853666284353989
24.0,50.0,Không,1,1,15.0,17.0,2,16.0086953,108.2188325, Võ Chí Công,Hòa Xuân,cẩm lệ,2,6.936356435136482,5.692597833674528,5.641274190414564
3.85,126.0,Không,1,1,6.0,21.0,2,16.0112356,108.2002191, Bình Thái 4,Hòa Thọ Đông,cẩm lệ,2,7.804217058592689,5.496878681377828,5.095032287792605
2.85,100.0,Không,1,1,5.0,20.0,2,15.9794185,108.2192149, Liêm Lạc 15,Hòa Xuân,cẩm lệ,2,9.932408855337151,8.916987728385154,8.789450540140587
4.3,90.0,Không,1,1,5.0,18.0,3,16.0190372,108.2057322, Trương Quang Giao,Khuê Trung,cẩm lệ,2,6.7653797712398145,4.540180098492836,4.237713596545324
3.3,100.0,Không,1,1,5.0,20.0,2,15.9992464,108.2116823, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,2,8.215806830890585,6.685949227526858,6.4871850318153435
11.0,140.0,Không,1,1,5.9,25.0,1,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.5626070190734715,3.976662923297844,3.9759391368219577
4.2,145.0,Không,1,1,6.0,24.0,3,16.0117393,108.1982179, Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,2,7.903302811120536,5.494613663834648,5.055019746732804
4.3,135.0,Không,1,1,5.4,25.0,2,16.0154633,108.2036738, Bình Thái 3,Hòa Thọ Đông,cẩm lệ,2,7.208361744855669,4.965169458553947,4.621729814299202
4.9,125.0,Không,1,1,5.0,25.0,2,16.0240456,108.2103341, Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,2,6.023948747153598,3.944180730095847,3.761377119367541
20.0,310.0,Không,1,1,11.2,26.0,3,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.5626070190734715,3.976662923297844,3.9759391368219577
5.4,90.0,Không,1,1,5.0,18.0,2,16.0277607,108.2121296, Trần Kim Bảng,Khuê Trung,cẩm lệ,2,5.5899031392691,3.5309748773522127,3.413365163948269
3.9,120.0,Không,1,1,5.0,24.0,2,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,2,6.975815789478457,4.412896672312063,3.984146342579829
4.1,100.0,Không,1,1,5.0,20.0,2,16.0203761,108.204959, Trần Huy Liệu,Khuê Trung,cẩm lệ,2,6.710885434355904,4.406181976639599,4.084206801768412
3.75,100.0,Không,1,1,5.0,20.0,3,15.9992464,108.2116823, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,2,8.215806830890585,6.685949227526858,6.4871850318153435
