Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport,Prices_normalized,prices_capped,log_prices,Area_capped,log_Area,floors_capped,width_capped,log_width,length_capped,log_length
5.9,100.0,Không,1,0,10.0,10.0,3,16.0352177,108.2404165, Mỹ Đa Tây 10,Khuê Mỹ,ngũ hành sơn,1,3.3710606306732003,4.098839983994727,4.7165775027758965,0.015605095541401276,5.9,1.7749523509116738,100.0,4.605170185988092,3,10.0,2.302585092994046,10.0,2.302585092994046
8.5,100.0,Không,1,0,5.0,20.0,3,16.0419023,108.2130349, Nguyễn Xuân Ôn,Hòa Cường Bắc,hải châu,4,4.484479538413432,1.971338310702043,2.02569889011214,0.02388535031847134,8.5,2.1400661634962708,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
7.2,60.0,Không,1,0,7.745966692414834,7.745966692414834,2,16.0667573,108.242661, Hà Đặc,Phước Mỹ,sơn trà,3,0.5623085986725335,3.410596797613072,4.407866025895089,0.019745222929936305,7.2,1.9740810260220096,60.0,4.0943445622221,2,7.745966692414834,2.04717228111105,7.745966692414834,2.04717228111105
2.73,90.0,Không,1,0,9.486832980505138,9.486832980505138,1,15.9837737,108.2472986, Nguyễn Tuyển,Hòa Hải,ngũ hành sơn,1,8.976302971378951,9.224495949053583,9.427045270442752,0.005509554140127389,2.73,1.0043016091968684,90.0,4.499809670330265,1,9.486832980505138,2.2499048351651325,9.486832980505138,2.2499048351651325
4.35,100.0,Không,1,0,10.0,10.0,3,16.0117657,108.2455053, Minh Mạng,Hòa Quý,ngũ hành sơn,1,5.882771071110088,6.420979412987574,6.805544946636276,0.010668789808917197,4.35,1.4701758451005926,100.0,4.605170185988092,3,10.0,2.302585092994046,10.0,2.302585092994046
9.4,104.0,Tây Bắc,0,0,5.2,20.0,5,16.0785524,108.2159741, Đống Đa,Thanh Bình,hải châu,4,3.701212010223355,2.140773490999176,2.757123206999029,0.0267515923566879,9.4,2.2407096892759584,104.0,4.6443908991413725,5,5.2,1.6486586255873816,20.0,2.995732273553991
3.0,100.0,Đông Nam,0,0,10.0,10.0,2,16.0087079,108.2567299, Đặng Thái Thân,Hòa Hải,ngũ hành sơn,1,6.2942376767647525,7.421591113911255,7.892476504503556,0.006369426751592357,3.0,1.0986122886681098,100.0,4.605170185988092,2,10.0,2.302585092994046,10.0,2.302585092994046
2.7,61.0,Không,0,0,7.810249675906654,7.810249675906654,2,16.1004212,108.2514917, Nguyễn Phan Vinh,Thọ Quang,sơn trà,3,3.9544144653725706,6.206314054786153,7.081503752858206,0.005414012738853504,2.7,0.9932517730102834,61.0,4.110873864173311,2,7.810249675906654,2.0554369320866557,7.810249675906654,2.0554369320866557
4.5,71.0,Đông,0,0,4.0,15.0,3,16.0493796,108.2207225, Núi Thành,Hòa Thuận Đông,hải châu,4,3.3445135163991093,1.4966070293743554,2.117951390785364,0.011146496815286623,4.5,1.5040773967762742,71.0,4.2626798770413155,3,4.0,1.3862943611198906,15.0,2.70805020110221
3.6,70.0,Không,0,0,8.0,9.0,2,16.042319,108.2140318, Hoàng Thúc Trâm,Hòa Cường Bắc,hải châu,4,4.37052667335598,1.936544704351804,2.0487564401690914,0.008280254777070064,3.6,1.2809338454620642,70.0,4.248495242049359,2,8.0,2.0794415416798357,9.0,2.1972245773362196
2.45,120.0,Không,0,0,10.954451150103322,10.954451150103322,1,15.9882674,108.2554871, Huỳnh Bá Chánh,Hòa Hải,ngũ hành sơn,1,8.521453282970057,9.1892557577266,9.495967255784064,0.004617834394904459,2.45,0.8960880245566357,120.0,4.787491742782046,1,10.954451150103322,2.393745871391023,10.954451150103322,2.393745871391023
2.45,120.0,Đông Nam,0,0,10.954451150103322,10.954451150103322,1,15.9869865,108.2552205, Trần Đại Nghĩa,Hòa Hải,ngũ hành sơn,1,8.659749714152314,9.29706816611791,9.593481288368752,0.004617834394904459,2.45,0.8960880245566357,120.0,4.787491742782046,1,10.954451150103322,2.393745871391023,10.954451150103322,2.393745871391023
9.5,90.0,Không,1,0,9.486832980505138,9.486832980505138,3,16.0820815,108.231948, Nguyễn Thị Định,An Hải Bắc,sơn trà,3,2.5308622350622,3.297512511052934,4.169787920763471,0.027070063694267517,9.5,2.2512917986064953,90.0,4.499809670330265,3,9.486832980505138,2.2499048351651325,9.486832980505138,2.2499048351651325
5.4,115.0,Không,1,1,5.0,23.0,3,15.9999497,108.2153837, Mẹ Thứ,Hòa Xuân,cẩm lệ,2,7.968118372425422,6.620244977365063,6.48170658558846,0.014012738853503185,5.4,1.6863989535702288,115.0,4.74493212836325,3,5.0,1.6094379124341003,23.0,3.1354942159291497
8.2,86.85547250981791,Không,1,1,10.0,20.0,2,16.0045894,108.2201122, Thanh Lương 3,Hòa Xuân,cẩm lệ,2,7.290232702700824,6.1617429659785525,6.1157458432071286,0.022929936305732482,8.2,2.1041341542702074,86.85547250981791,4.464245501753445,2,10.0,2.302585092994046,20.0,2.995732273553991
8.2,108.0,Không,0,1,6.0,21.0,3,16.0563801,108.246888, Nguyễn Văn Thoại,Mỹ An,ngũ hành sơn,1,0.944368467111763,3.788963724099029,4.732906610523729,0.022929936305732482,8.2,2.1041341542702074,108.0,4.68213122712422,3,6.0,1.791759469228055,21.0,3.044522437723423
8.5,60.0,Không,1,1,5.0,12.0,5,16.0512309,108.2443867, An Thượng 38,Mỹ An,ngũ hành sơn,1,1.548929419426012,3.6260687754731418,4.5132904749324485,0.02388535031847134,8.5,2.1400661634962708,60.0,4.0943445622221,5,5.0,1.6094379124341003,12.0,2.4849066497880004
18.5,175.0,Không,1,1,10.0,18.0,3,16.068177,108.2392192, Dương Đình Nghệ,An Hải Bắc,sơn trà,3,0.9626007776598884,3.0974688974354536,4.095001816980483,0.05573248407643312,18.5,2.917770732084279,175.0,5.1647859739235145,3,10.0,2.302585092994046,18.0,2.8903717578961645
25.0,107.0,Nam,1,1,5.0,21.0,5,16.0602491,108.2136695, Nguyễn Văn Linh,Nam Dương,hải châu,4,3.6613011326956393,0.2263800987938418,1.2243334529593215,0.07643312101910828,25.0,3.2188758248682006,107.0,4.672828834461906,5,5.0,1.6094379124341003,21.0,3.044522437723423
3.1,90.0,Không,1,1,6.0,15.0,2,15.9809191,108.2541347, Đông Trà 2,Hòa Hải,ngũ hành sơn,1,9.318843858174786,9.829355897479685,10.081112858103229,0.006687898089171975,3.1,1.1314021114911006,90.0,4.499809670330265,2,6.0,1.791759469228055,15.0,2.70805020110221
3.2,100.0,Tây Nam,0,1,5.0,21.0,2,16.0234267,108.2459015, Nguyễn Đình Chiểu,Khuê Mỹ,ngũ hành sơn,1,4.591696956689547,5.433484610345684,5.948903072179581,0.0070063694267515925,3.2,1.1631508098056809,100.0,4.605170185988092,2,5.0,1.6094379124341003,21.0,3.044522437723423
3.0,100.0,Đông Bắc,0,1,5.0,20.0,2,16.0087079,108.2567299, Đặng Thái Thân,Hòa Hải,ngũ hành sơn,1,6.2942376767647525,7.421591113911255,7.892476504503556,0.006369426751592357,3.0,1.0986122886681098,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
4.4,7.0,Không,1,1,4.0,18.0,2,16.091881,108.2348882, Nại Hiên Đông,Nại Hiên Đông,sơn trà,3,3.2796016995697364,4.346837789303058,5.157536649243431,0.010828025477707007,4.4,1.4816045409242156,7.0,1.9459101490553132,2,4.0,1.3862943611198906,18.0,2.8903717578961645
13.0,160.0,Tây Bắc,1,1,10.0,16.0,4,16.0411852,108.2413304, Hoài Thanh,Mỹ An,ngũ hành sơn,1,2.7062495765899257,3.778228723064128,4.501791899945291,0.03821656050955414,13.0,2.5649493574615367,160.0,5.075173815233827,4,10.0,2.302585092994046,16.0,2.772588722239781
2.6,50.0,Không,0,1,6.0,33.0,1,16.0009093,108.2384392, Bình Kỳ,Hòa Quý,ngũ hành sơn,1,7.1468613834423085,7.106303810874213,7.313175393330508,0.005095541401273886,2.6,0.9555114450274363,50.0,3.912023005428146,1,6.0,1.791759469228055,33.0,3.4965075614664802
8.5,60.0,Không,1,1,5.0,13.0,4,16.0512309,108.2443867, An Thượng 38,Mỹ An,ngũ hành sơn,1,1.548929419426012,3.6260687754731418,4.5132904749324485,0.02388535031847134,8.5,2.1400661634962708,60.0,4.0943445622221,4,5.0,1.6094379124341003,13.0,2.5649493574615367
7.2,100.0,Không,1,1,5.0,20.0,3,16.0435195,108.2374131, An Dương Vương,Mỹ An,ngũ hành sơn,1,2.6016998195603445,3.285945807855332,4.015363875524866,0.019745222929936305,7.2,1.9740810260220096,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
14.0,190.0,Không,1,1,10.0,19.0,5,16.0260053,108.241551, Mạc Cửu,Khuê Mỹ,ngũ hành sơn,1,4.350568541270353,4.911063764858304,5.407894106776747,0.041401273885350316,14.0,2.6390573296152584,190.0,5.247024072160486,5,10.0,2.302585092994046,19.0,2.9444389791664403
7.6,100.0,Không,1,1,5.0,20.0,4,16.0947252,108.2321493, Hồ Hán Thương,Nại Hiên Đông,sơn trà,3,3.689808897160803,4.457145909587805,5.2133386309067165,0.021019108280254776,7.6,2.028148247292285,100.0,4.605170185988092,4,5.0,1.6094379124341003,20.0,2.995732273553991
5.4,115.0,Nam,1,1,5.0,23.0,3,15.9999497,108.2153837, Mẹ Thứ,Hòa Xuân,cẩm lệ,2,7.968118372425422,6.620244977365063,6.48170658558846,0.014012738853503185,5.4,1.6863989535702288,115.0,4.74493212836325,3,5.0,1.6094379124341003,23.0,3.1354942159291497
3.7,116.0,Tây Nam,1,1,6.0,20.0,1,16.0317844,108.2443437, Bùi Tá Hán,Khuê Mỹ,ngũ hành sơn,1,3.679476076556571,4.665337191728721,5.273766949682955,0.008598726114649681,3.7,1.308332819650179,116.0,4.7535901911063645,1,6.0,1.791759469228055,20.0,2.995732273553991
5.7,100.0,Không,1,1,5.0,20.0,4,16.017943,108.2323619, Hồ Trung Lượng,Hòa Xuân,cẩm lệ,2,5.44339739144731,5.121851887140504,5.384022173354155,0.014968152866242038,5.7,1.7404661748405046,100.0,4.605170185988092,4,5.0,1.6094379124341003,20.0,2.995732273553991
5.49,100.0,Không,1,0,5.0,20.0,2,16.0507294,108.1792194, Nguyễn Đình Tứ,Hòa An,cẩm lệ,2,7.477510679119202,3.607527805824854,2.6095606978485524,0.014299363057324842,5.49,1.7029282555214393,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
5.5,70.0,Không,1,0,5.0,14.0,1,16.064714,108.2005498, Lê Duy Đình,Chính Gián,thanh khê,7,5.028904734277416,1.3117427403711217,0.8599002584971264,0.014331210191082803,5.5,1.7047480922384253,70.0,4.248495242049359,1,5.0,1.6094379124341003,14.0,2.6390573296152584
12.0,95.0,Không,1,0,5.0,19.0,4,16.0438995,108.2150564, Tiểu La,Hòa Cường Bắc,hải châu,4,4.181375552417888,1.782537511421301,1.9824285931780337,0.03503184713375796,12.0,2.4849066497880004,95.0,4.553876891600541,4,5.0,1.6094379124341003,19.0,2.9444389791664403
8.0,75.0,Không,1,0,5.0,15.0,2,16.0739419,108.1805846, Đặng Đình Vân,Thanh Khê Đông,thanh khê,7,7.234651349924314,3.679470978934912,3.0012004159944285,0.022292993630573247,8.0,2.0794415416798357,75.0,4.31748811353631,2,5.0,1.6094379124341003,15.0,2.70805020110221
8.8,100.0,Không,1,0,5.0,20.0,2,16.0340309,108.2154818, Tố Hữu,Hòa Cường Nam,hải châu,4,4.841058814599871,2.86634382424269,2.909345599704624,0.024840764331210193,8.8,2.174751721484161,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
3.9,55.0,Không,1,0,4.8,11.5,2,16.0648232,108.2299077, Trần Hưng Đạo,An Hải Tây,sơn trà,3,1.8875909861002107,2.0361076868847507,3.034051204227963,0.009235668789808917,3.9,1.3609765531356006,55.0,4.007333185232471,2,4.8,1.5686159179138452,11.5,2.4423470353692043
5.5,90.0,Không,1,0,5.0,18.0,1,16.0277607,108.2121296, Trần Kim Bảng,Khuê Trung,cẩm lệ,2,5.5899031392691,3.5309748773522127,3.413365163948269,0.014331210191082803,5.5,1.7047480922384253,90.0,4.499809670330265,1,5.0,1.6094379124341003,18.0,2.8903717578961645
6.5,77.0,Không,1,0,4.5,17.0,2,16.0638721,108.2329652, Nguyễn Văn Siêu,An Hải Tây,sơn trà,3,1.5644898846300943,2.328643014830048,3.324722256475166,0.01751592356687898,6.5,1.8718021769015913,77.0,4.343805421853684,2,4.5,1.5040773967762742,17.0,2.833213344056216
9.0,103.0,Không,1,0,6.0,17.0,3,16.0637679,108.2326482, Phùng Khắc Khoan,An Hải Tây,sơn trà,3,1.5991772397750446,2.2931082685441355,3.2890940491610747,0.025477707006369428,9.0,2.1972245773362196,103.0,4.634728988229636,3,6.0,1.791759469228055,17.0,2.833213344056216
5.8,66.0,Không,1,0,6.0,11.0,1,16.0519052,108.2337911, Phan Huy Chú,An Hải Tây,sơn trà,3,2.057130557045602,2.520880013343308,3.382093447358144,0.015286624203821656,5.8,1.7578579175523736,66.0,4.189654742026425,1,6.0,1.791759469228055,11.0,2.3978952727983707
10.5,198.0,Không,1,0,11.0,19.0,3,16.0172054,108.2084021, Phan Văn Trị,Khuê Trung,cẩm lệ,2,6.737453259158979,4.711399097584559,4.470048515679327,0.030254777070063694,10.5,2.3513752571634776,198.0,5.288267030694535,3,11.0,2.3978952727983707,19.0,2.9444389791664403
13.0,84.0,Không,1,0,4.5,19.0,4,16.0572971,108.2189031, Phan Châu Trinh,Phước Ninh,hải châu,4,3.178206343347473,0.8200167881529893,1.7375190636934414,0.03821656050955414,13.0,2.5649493574615367,84.0,4.430816798843313,4,4.5,1.5040773967762742,19.0,2.9444389791664403
22.1,8.0,Không,1,0,9.0,23.0,2,16.0549167,108.2041463, Duy Tân,Hòa Thuận Tây,hải châu,4,4.773493775984444,0.958874264995526,0.2998811123804539,0.06719745222929936,22.1,3.095577608523707,8.0,2.0794415416798357,2,9.0,2.1972245773362196,23.0,3.1354942159291497
3.5,40.0,Không,1,0,7.5,5.3,2,16.0533557,108.1853664, Nguyễn Phước Nguyên,An Khê,thanh khê,7,6.774998341912,2.8969782532200834,1.8997636081011784,0.007961783439490446,3.5,1.252762968495368,40.0,3.6888794541139363,2,7.5,2.0149030205422647,5.3,1.667706820558076
5.4,100.0,Không,1,0,5.0,20.0,2,16.0432802,108.2197778, Hóa Quê Trung,Hòa Cường Bắc,hải châu,4,3.8143320653530943,2.011400856484286,2.3941099860152857,0.014012738853503185,5.4,1.6863989535702288,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
4.7,7.0,Không,1,0,4.5,16.0,3,16.0828595,108.1605917, Dương Đức Hiền,Hòa Minh,liên chiểu,6,9.514074086369494,6.035119204714847,5.321416671860528,0.01178343949044586,4.7,1.547562508716013,7.0,1.9459101490553132,3,4.5,1.5040773967762742,16.0,2.772588722239781
5.2,125.0,Không,1,0,5.0,25.0,2,16.0240456,108.2103341, Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,2,6.023948747153598,3.944180730095847,3.761377119367541,0.01337579617834395,5.2,1.6486586255873816,125.0,4.8283137373023015,2,5.0,1.6094379124341003,25.0,3.2188758248682006
6.5,69.0,Không,1,0,6.0,11.0,4,16.0411852,108.2413304, Hoài Thanh,Mỹ An,ngũ hành sơn,1,2.7062495765899257,3.778228723064128,4.501791899945291,0.01751592356687898,6.5,1.8718021769015913,69.0,4.23410650459726,4,6.0,1.791759469228055,11.0,2.3978952727983707
5.2,108.0,Không,1,0,5.0,21.5,1,16.0256539,108.2126511, Nguyễn Thượng Hiền,Khuê Trung,cẩm lệ,2,5.726900235900744,3.765274905577693,3.65259732838275,0.01337579617834395,5.2,1.6486586255873816,108.0,4.68213122712422,1,5.0,1.6094379124341003,21.5,3.068052935133617
5.9,76.0,Không,1,0,5.0,15.2,2,16.0339912,108.2150624, Dương Bá Trạc,Hòa Cường Nam,hải châu,4,4.87605248526501,2.8646116816245417,2.892363250255785,0.015605095541401276,5.9,1.7749523509116738,76.0,4.330733340286331,2,5.0,1.6094379124341003,15.2,2.7212954278522306
24.0,76.0,Không,1,0,5.0,15.2,2,16.0320034,108.2149433, Xô Viết Nghệ Tĩnh,Hòa Cường Nam,hải châu,4,5.041569091408144,3.081417486238519,3.0840291537183595,0.0732484076433121,24.0,3.1780538303479458,76.0,4.330733340286331,2,5.0,1.6094379124341003,15.2,2.7212954278522306
5.9,95.0,Không,1,0,5.0,19.0,3,16.0336383,108.2103962, Bùi Kỷ,Khuê Trung,cẩm lệ,2,5.269286728745239,2.883261442826172,2.7372494936368192,0.015605095541401276,5.9,1.7749523509116738,95.0,4.553876891600541,3,5.0,1.6094379124341003,19.0,2.9444389791664403
16.3,125.0,Không,1,0,5.0,25.0,4,16.0407896,108.2111494, Nguyễn Hữu Thọ,Hòa Cường Bắc,hải châu,4,4.72051048174597,2.0894873395519493,2.0319746507239835,0.04872611464968153,16.3,2.791165107812717,125.0,4.8283137373023015,4,5.0,1.6094379124341003,25.0,3.2188758248682006
3.8,56.0,Không,1,0,4.5,15.0,1,16.031138,108.2265492, Nguyễn Xuân Nhĩ,Hòa Cường Nam,hải châu,4,4.35886489213806,3.5370342484187405,3.8549712722077936,0.008917197452229299,3.8,1.33500106673234,56.0,4.02535169073515,1,4.5,1.5040773967762742,15.0,2.70805020110221
4.2,66.0,Không,1,0,5.0,13.2,1,16.0870822,108.2448297, Trương Quyền,Mân Thái,sơn trà,3,2.472928294347856,4.670522853746197,5.592373320254724,0.010191082802547772,4.2,1.4350845252893227,66.0,4.189654742026425,1,5.0,1.6094379124341003,13.2,2.580216829592325
5.2,56.0,Không,1,0,4.0,14.0,3,16.067252,108.2404802, Phạm Tu,Phước Mỹ,sơn trà,3,0.8002017076055575,3.1978921444979025,4.19583187152183,0.01337579617834395,5.2,1.6486586255873816,56.0,4.02535169073515,3,4.0,1.3862943611198906,14.0,2.6390573296152584
6.35,103.0,Không,1,0,5.0,20.5,3,16.0186881,108.2107158, An Hoà 1,Khuê Trung,cẩm lệ,2,6.455648412831019,4.535635337898553,4.349784464916699,0.017038216560509554,6.35,1.8484548129046001,103.0,4.634728988229636,3,5.0,1.6094379124341003,20.5,3.0204248861443626
3.4,56.0,Không,1,0,4.0,14.0,2,16.0311397,108.2273853, Hóa Sơn 2,Hòa Cường Nam,hải châu,4,4.313258881985078,3.5781123240472743,3.914724933327211,0.007643312101910828,3.4,1.2237754316221157,56.0,4.02535169073515,2,4.0,1.3862943611198906,14.0,2.6390573296152584
12.0,140.0,Không,1,0,8.0,17.3,2,16.0213876,108.1991503, Lê Đại Hành,Hòa Thọ Đông,cẩm lệ,2,7.070927630471287,4.4417468360078125,3.982697321541072,0.03503184713375796,12.0,2.4849066497880004,140.0,4.941642422609304,2,8.0,2.0794415416798357,17.3,2.8507065015037334
5.9,70.0,Không,1,0,4.0,17.3,4,16.0318761,108.2319729, Lưu Trọng Lư,Hòa Cường Nam,hải châu,4,4.015556383012242,3.766985072476909,4.2070942314933175,0.015605095541401276,5.9,1.7749523509116738,70.0,4.248495242049359,4,4.0,1.3862943611198906,17.3,2.8507065015037334
4.5,53.0,Không,1,0,4.7,11.0,2,16.0586433,108.2109396, Trần Tống,Vĩnh Trung,thanh khê,7,3.977746919668889,0.1358155459052938,0.8993190603318368,0.011146496815286623,4.5,1.5040773967762742,53.0,3.970291913552122,2,4.7,1.547562508716013,11.0,2.3978952727983707
13.0,85.0,Không,1,0,6.0,15.0,5,16.0656447,108.2017156, Điện Biên Phủ,Chính Gián,thanh khê,7,4.904825881595817,1.25131956440354,0.938080530690646,0.03821656050955414,13.0,2.5649493574615367,85.0,4.442651256490317,5,6.0,1.791759469228055,15.0,2.70805020110221
12.5,98.0,Không,1,0,7.0,14.0,3,16.0697911,108.2343071, Tạ Mỹ Duật,An Hải Bắc,sơn trà,3,1.5170746870558458,2.6715193445662595,3.660437697494273,0.03662420382165605,12.5,2.5257286443082556,98.0,4.584967478670572,3,7.0,1.9459101490553132,14.0,2.6390573296152584
8.5,88.0,Không,1,0,5.0,17.5,3,16.0700358,108.2338572, An Nhơn 2,An Hải Bắc,sơn trà,3,1.5717322943545255,2.6395540394546417,3.626461737883525,0.02388535031847134,8.5,2.1400661634962708,88.0,4.477336814478207,3,5.0,1.6094379124341003,17.5,2.8622008809294686
7.5,70.0,Không,1,0,5.0,14.0,3,16.0697211,108.2323275, An Nhơn 7,An Hải Bắc,sơn trà,3,1.7141314202809266,2.4773351655341607,3.462352083890061,0.020700636942675158,7.5,2.0149030205422647,70.0,4.248495242049359,3,5.0,1.6094379124341003,14.0,2.6390573296152584
7.8,76.0,Không,1,0,5.04,15.0,2,16.0690147,108.2352154, Phan Bôi,An Hải Bắc,sơn trà,3,1.396340248281008,2.726304523192471,3.719501358177628,0.02165605095541401,7.8,2.0541237336955462,76.0,4.330733340286331,2,5.04,1.6174060820832772,15.0,2.70805020110221
7.5,75.0,Không,1,0,5.0,15.0,3,16.0744881,108.240229, Dương Trí Trạch,An Hải Bắc,sơn trà,3,1.3196323962359588,3.470825739146003,4.450521527536584,0.020700636942675158,7.5,2.0149030205422647,75.0,4.31748811353631,3,5.0,1.6094379124341003,15.0,2.70805020110221
13.5,187.0,Không,1,0,10.0,19.0,1,16.0870717,108.2386061, Lý Đạo Thành,An Hải Bắc,sơn trà,3,2.634482816326766,4.18581107245375,5.069723403502555,0.03980891719745223,13.5,2.6026896854443837,187.0,5.231108616854587,1,10.0,2.302585092994046,19.0,2.9444389791664403
16.5,150.0,Không,1,0,7.2,22.0,3,16.0663954,108.2395365, Nguyễn Công Trứ,An Hải Bắc,sơn trà,3,0.8733251193704052,3.076265474006314,4.073890699582458,0.04936305732484077,16.5,2.803360380906535,150.0,5.0106352940962555,3,7.2,1.9740810260220096,22.0,3.091042453358316
8.0,100.0,Không,1,0,5.0,20.0,3,16.0211542,108.2065983, Hà Tông Quyền,Khuê Trung,cẩm lệ,2,6.528920245396716,4.295695938128101,4.0128531176394535,0.022292993630573247,8.0,2.0794415416798357,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
15.0,106.0,Không,1,0,6.2,17.0,3,16.0382864,108.2213353, Núi Thành,Hòa Cường Bắc,hải châu,4,4.066315876444203,2.583237451838292,2.89481433902592,0.044585987261146494,15.0,2.70805020110221,106.0,4.663439094112067,3,6.2,1.824549292051046,17.0,2.833213344056216
6.5,125.0,Không,1,0,3.8,33.0,2,16.0720556,108.1787232, Dũng Sĩ Thanh Khê,Thanh Khê Tây,thanh khê,7,7.40673918359789,3.779687431961192,3.0428607700637973,0.01751592356687898,6.5,1.8718021769015913,125.0,4.8283137373023015,2,3.8,1.33500106673234,33.0,3.4965075614664802
6.2,86.0,Không,1,0,4.5,19.0,3,16.0283436,108.2199117, Mạc Thị bưởi,Hòa Cường Nam,hải châu,4,5.010186676023443,3.5772818080288387,3.689857972123928,0.016560509554140127,6.2,1.824549292051046,86.0,4.454347296253507,3,4.5,1.5040773967762742,19.0,2.9444389791664403
7.5,100.0,Không,1,0,8.3,13.4,1,16.0361573,108.2200975, Tiên Sơn 7,Hòa Cường Nam,hải châu,4,4.328781476666738,2.754302911936652,2.9851161314087613,0.020700636942675158,7.5,2.0149030205422647,100.0,4.605170185988092,1,8.3,2.1162555148025524,13.4,2.5952547069568657
7.8,75.0,Không,1,0,4.5,16.5,3,16.0420993,108.2115539, Lương Nhữ Hộc,Hòa Cường Bắc,hải châu,4,4.603887396320422,1.943915673197104,1.9244356910985383,0.02165605095541401,7.8,2.0541237336955462,75.0,4.31748811353631,3,4.5,1.5040773967762742,16.5,2.803360380906535
5.6,86.0,Không,1,0,4.1,20.9,1,16.030072,108.2112972, Nguyễn Phong Sắc,Khuê Trung,cẩm lệ,2,5.467510656087649,3.27503015447001,3.142698725408692,0.014649681528662419,5.6,1.7227665977411035,86.0,4.454347296253507,1,4.1,1.410986973710262,20.9,3.039749158970765
8.9,55.0,Không,1,0,5.0,11.0,4,16.0596622,108.2121322, Đỗ Quang,Vĩnh Trung,thanh khê,7,3.833504767302232,0.0524890094715491,1.0484830818026558,0.02515923566878981,8.9,2.186051276738094,55.0,4.007333185232471,4,5.0,1.6094379124341003,11.0,2.3978952727983707
5.5,70.0,Không,1,0,6.3,11.0,3,16.0664386,108.1810166, Mẹ Nhu,Thanh Khê Tây,thanh khê,7,7.120946963979735,3.3615215359053967,2.531242565670903,0.014331210191082803,5.5,1.7047480922384253,70.0,4.248495242049359,3,6.3,1.840549633397487,11.0,2.3978952727983707
5.0,95.0,Không,1,0,4.3,22.0,2,16.0870717,108.2386061, Lý Đạo Thành,An Hải Bắc,sơn trà,3,2.634482816326766,4.18581107245375,5.069723403502555,0.012738853503184714,5.0,1.6094379124341003,95.0,4.553876891600541,2,4.3,1.4586150226995167,22.0,3.091042453358316
5.8,57.0,Không,1,0,4.2,13.57,2,16.0834758,108.2142269, Thanh Thủy,Thanh Bình,hải châu,4,4.115937120556901,2.6492828482404294,3.158100301174514,0.015286624203821656,5.8,1.7578579175523736,57.0,4.04305126783455,2,4.2,1.4350845252893227,13.57,2.6078614738467776
6.1,75.0,Không,1,0,5.0,15.0,3,16.0640533,108.1828463, Cù Chính Lan,An Khê,thanh khê,7,6.92376902037893,3.1191641266056074,2.251560792975773,0.01624203821656051,6.1,1.8082887711792655,75.0,4.31748811353631,3,5.0,1.6094379124341003,15.0,2.70805020110221
3.6,96.0,Không,1,0,4.8,20.0,1,16.0098822,108.1966373, Bùi Xương Tự,Hòa Thọ Đông,cẩm lệ,2,8.169246362473524,5.738241224248256,5.277642945822706,0.008280254777070064,3.6,1.2809338454620642,96.0,4.564348191467836,1,4.8,1.5686159179138452,20.0,2.995732273553991
6.0,100.0,Không,1,0,5.0,20.0,3,16.0098822,108.1966373, Bùi Xương Tự,Hòa Thọ Đông,cẩm lệ,2,8.169246362473524,5.738241224248256,5.277642945822706,0.01592356687898089,6.0,1.791759469228055,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
6.1,100.0,Không,1,0,5.0,20.0,3,16.0067921,108.1968344, Nguyễn Hữu Tiến,Hòa Thọ Đông,cẩm lệ,2,8.413532310743147,6.061737101472568,5.614798201001165,0.01624203821656051,6.1,1.8082887711792655,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
6.6,104.0,Không,1,0,5.5,18.5,2,16.0557495,108.2097934, Lê Đình Lý,Vĩnh Trung,thanh khê,7,4.164597959463049,0.4763673161504429,0.7798318410034896,0.017834394904458598,6.6,1.8870696490323797,104.0,4.6443908991413725,2,5.5,1.7047480922384253,18.5,2.917770732084279
17.5,90.0,Không,1,0,5.0,18.0,2,16.0484004,108.2475511, An Thượng 2,Mỹ An,ngũ hành sơn,1,1.8247465342723463,4.039669643640456,4.901147063214384,0.052547770700636945,17.5,2.8622008809294686,90.0,4.499809670330265,2,5.0,1.6094379124341003,18.0,2.8903717578961645
15.0,118.0,Không,1,0,6.0,16.0,1,16.0810973,108.2190596, Lê Lợi,Thuận Phước,hải châu,4,3.5366713190601424,2.5008867098213616,3.17174940505713,0.044585987261146494,15.0,2.70805020110221,118.0,4.770684624465665,1,6.0,1.791759469228055,16.0,2.772588722239781
6.5,75.0,Không,1,0,5.86,15.0,5,16.0834178,108.2180009, Ngô Chi Lan,Thuận Phước,hải châu,4,3.768069609815434,2.7150264062480303,3.33143385726721,0.01751592356687898,6.5,1.8718021769015913,75.0,4.31748811353631,5,5.86,1.7681496035889213,15.0,2.70805020110221
