Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport,Prices_normalized,prices_capped,log_prices,Area_capped,log_Area,floors_capped,width_capped,log_width,length_capped,log_length
6.4,95.0,Không,1,0,5.0,19.0,3,15.9975739,108.2002439, Nguyễn Hồng Ánh,Xã Hòa Châu,hòa vang,5,9.006565799174593,6.978455406345205,6.605174206546393,0.017197452229299363,6.4,1.8562979903656263,95.0,4.553876891600541,3,5.0,1.6094379124341003,19.0,2.9444389791664403
2.75,60.0,Không,0,1,4.5,15.0,2,16.0698397,108.2115701, Lê Duẩn,Tân Chính,thanh khê,7,3.88841536044275,1.1258653402444132,1.690805522306393,0.005573248407643312,2.75,1.0116009116784799,60.0,4.0943445622221,2,4.5,1.5040773967762742,15.0,2.70805020110221
2.6,100.0,Không,0,1,5.0,20.0,2,16.0554848,108.1553766, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,6,9.917383246685455,6.03832112693159,5.063737357990122,0.005095541401273886,2.6,0.9555114450274363,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
3.8,50.0,Không,0,1,4.5,12.0,3,16.0672041,108.2443275, Hà Bổng,Phước Mỹ,sơn trà,3,0.4293659485725036,3.5955084989864625,4.592833762470426,0.008917197452229299,3.8,1.33500106673234,50.0,3.912023005428146,3,4.5,1.5040773967762742,12.0,2.4849066497880004
3.35,70.0,Không,0,1,4.0,17.5,3,16.0604801,108.165628, Ngô Chân Lưu,Hòa Minh,liên chiểu,6,8.779160289577735,4.924395671938321,3.979524815425038,0.007484076433121019,3.35,1.208960345836975,70.0,4.248495242049359,3,4.0,1.3862943611198906,17.5,2.8622008809294686
2.55,80.0,Không,0,0,5.0,16.0,2,16.0723048,108.1472133, Đồng Kè,Hòa Khánh Bắc,liên chiểu,6,10.766967754382824,7.034231089625177,6.163786505545406,0.004936305732484076,2.55,0.9360933591703348,80.0,4.382026634673881,2,5.0,1.6094379124341003,16.0,2.772588722239781
1.75,70.0,Không,0,1,4.5,16.0,1,16.041122,108.184901, Trường Chinh,Hòa Phát,cẩm lệ,2,7.201188503435208,3.5211905308176226,2.6049738435175485,0.0023885350318471337,1.75,0.5596157879354227,70.0,4.248495242049359,1,4.5,1.5040773967762742,16.0,2.772588722239781
3.69,85.0,Không,0,1,5.0,16.0,3,16.0583615,108.1683251, Tô Hiệu,Hòa Minh,liên chiểu,6,8.507768670810812,4.637246247012794,3.676714756835964,0.00856687898089172,3.69,1.3056264580524357,85.0,4.442651256490317,3,5.0,1.6094379124341003,16.0,2.772588722239781
5.95,13.0,Không,0,1,5.8,23.0,3,16.044107,108.2060114, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,4,5.004469849198954,1.824090898313722,1.494315801070678,0.015764331210191083,5.95,1.7833912195575383,13.0,2.5649493574615367,3,5.8,1.7578579175523736,23.0,3.1354942159291497
6.0,150.0,Không,0,1,6.0,25.0,3,16.044107,108.2060114, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,4,5.004469849198954,1.824090898313722,1.494315801070678,0.01592356687898089,6.0,1.791759469228055,150.0,5.0106352940962555,3,6.0,1.791759469228055,25.0,3.2188758248682006
