price,area,road_width,floors,bedroom,loc,garage
: 6 tỷ,"160 m
2","7,5m",,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",0
: 65 tỷ,"210 m
2",30m,4 lầu,4 phòng ngủ,"Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà,",0
": 13,9 tỷ","175 m
2",6m,,3 phòng ngủ,"Đường An Hải Đông 1, Phường An Hải Đông, Quận Sơn Trà,",0
": 6,3 tỷ","81 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Mỹ Đa Đông 8, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 1,07 tỷ","150 m
2",48m,2 lầu,3 phòng ngủ,"Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà,",0
": 10,5 tỷ","180 m
2",15m,2 lầu,4 phòng ngủ,"Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu,",0
": 7,2 tỷ","160 m
2",10m,2 lầu,3 phòng ngủ,"Đường Nguyễn Đình Chiểu, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 4,5 tỷ","110 m
2","7,5m",,3 phòng ngủ,"Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà,",0
: 20 tỷ,"165 m
2","10,m",3 lầu,4 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 8,5 tỷ","100 m
2",30m,,1 phòng ngủ,"Đường Hoàng Thị Loan, Phường Hòa Minh, Quận Liên Chiểu,",0
": 10,5 tỷ","300 m
2","7,5m",2 lầu,4 phòng ngủ,"Đường Nguyễn Thị Sáu, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 7,9 tỷ","225 m
2","7,5m",2 lầu,10 phòng ngủ,"Đường Nguyễn Khuyến, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
": 8,9 tỷ","200 m
2","7,5m",,3 phòng ngủ,"Đường Nguyễn Khuyến, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
": 10,5 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Phan Thúc Duyện, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 4,4 tỷ","103 m
2",6m,1 lầu,3 phòng ngủ,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 4,2 tỷ","100 m
2","10,m",2 lầu,3 phòng ngủ,"Đường Võ Duy Dương, Phường Hòa Hiệp Nam, Quận Liên Chiểu,",0
": 4,9 tỷ","150 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Khánh An 6, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 5,1 tỷ","80 m
2",7m,3 lầu,3 phòng ngủ,"Đường Hòa Phú 3, Phường Hòa Minh, Quận Liên Chiểu,",0
": 6,4 tỷ","120 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Đỗ Đăng Đệ, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 10,8 tỷ","73 m
2","10,m",4 lầu,4 phòng ngủ,"Đường Phan Châu Trinh, Phường Phước Ninh, Quận Hải Châu,",0
": 17,9 tỷ","100 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà,",0
: 14 tỷ,"120 m
2",6m,4 lầu,11 phòng ngủ,"Đường Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà,",0
: 17 tỷ,"500 m
2",30m,3 lầu,4 phòng ngủ,"Đường Tôn Đức Thắng, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
": 7,6 tỷ","75 m
2",6m,4 lầu,4 phòng ngủ,"Đường Trần Thanh Mại, Phường An Hải Bắc, Quận Sơn Trà,",0
": 19,8 tỷ","300 m
2","10,m",,2 phòng ngủ,"Đại lộ Thăng Long, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 6,3 tỷ","80 m
2",6m,3 lầu,4 phòng ngủ,"Đường Phước Trường 4, Phường Phước Mỹ, Quận Sơn Trà,",0
": 9,5 tỷ","100 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà,",0
: 16 tỷ,"400 m
2",30m,3 lầu,5 phòng ngủ,"Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ,",0
": 12,9 tỷ","170 m
2","10,m",2 lầu,4 phòng ngủ,"Đường Trương Định, Phường Mân Thái, Quận Sơn Trà,",0
: 6 tỷ,"160 m
2","7,5m",,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",0
": 8,9 tỷ","200 m
2","7,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Khuyến, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
": 5,2 tỷ","90 m
2",6m,3 lầu,3 phòng ngủ,"Đường Đỗ Nhuận, Phường Hòa Minh, Quận Liên Chiểu,",0
: 17 tỷ,"145 m
2",33m,1 lầu,1 phòng ngủ,"Đường 30/4, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 10,5 tỷ","170 m
2","10,m",3 lầu,3 phòng ngủ,"Đường Trần Quang Khải, Phường Thọ Quang, Quận Sơn Trà,",0
: 65 tỷ,"210 m
2",30m,4 lầu,4 phòng ngủ,"Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà,",0
: 24 tỷ,"230 m
2",15m,,3 phòng ngủ,"Đường Núi Thành, Phường Hòa Cường, Quận Hải Châu,",0
: 54 tỷ,"550 m
2",65m,2 lầu,1 phòng ngủ,"Phường Hòa Cường, Quận Hải Châu,",0
: 8 tỷ,"180 m
2",6m,,3 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 10,5 tỷ","123 m
2","7,5m",,3 phòng ngủ,"Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà,",0
": 11,5 tỷ","210 m
2",7m,,3 phòng ngủ,"Đường An Đồn, Phường An Hải Bắc, Quận Sơn Trà,",0
": 19,5 tỷ","150 m
2",15m,2 lầu,4 phòng ngủ,"Đường Thăng Long, Phường Hòa Cường, Quận Hải Châu,",0
": 10,5 tỷ","123 m
2","7,5m",,3 phòng ngủ,"Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà,",0
": 11,5 tỷ","210 m
2",7m,,3 phòng ngủ,"Đường An Đồn, Phường An Hải Bắc, Quận Sơn Trà,",0
": 6,2 tỷ","102 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Tú Mỡ, Phường Hòa An, Quận Cẩm Lệ,",0
": 19,5 tỷ","150 m
2",15m,2 lầu,4 phòng ngủ,"Đường Thăng Long, Phường Hòa Cường, Quận Hải Châu,",0
: 28 tỷ,"368 m
2",10m,3 lầu,8 phòng ngủ,"Phường Khuê Trung, Quận Cẩm Lệ,",0
": 5,9 tỷ","65 m
2",10m,1 lầu,3 phòng ngủ,"Đường Nguyễn Thế Lộc, Phường An Hải Bắc, Quận Sơn Trà,",0
": 4,4 tỷ","115 m
2","7,5m",,2 phòng ngủ,"Đường Nguyễn Khuyến, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
": 6,3 tỷ","81 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Mỹ Đa Đông 8, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 10,5 tỷ","170 m
2","10,m",3 lầu,3 phòng ngủ,"Đường Trần Quang Khải, Phường Thọ Quang, Quận Sơn Trà,",0
": 12,9 tỷ","170 m
2","10,m",2 lầu,4 phòng ngủ,"Đường Trương Định, Phường Mân Thái, Quận Sơn Trà,",0
: 6 tỷ,"160 m
2","7,5m",,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",0
": 5,2 tỷ","90 m
2",6m,3 lầu,3 phòng ngủ,"Đường Đỗ Nhuận, Phường Hòa Minh, Quận Liên Chiểu,",0
: 17 tỷ,"145 m
2",33m,1 lầu,1 phòng ngủ,"Đường 30/4, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 8,9 tỷ","200 m
2","7,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Khuyến, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
: 17 tỷ,"500 m
2",30m,3 lầu,4 phòng ngủ,"Đường Tôn Đức Thắng, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
: 16 tỷ,"400 m
2",30m,3 lầu,5 phòng ngủ,"Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ,",0
": 9,5 tỷ","100 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà,",0
": 19,8 tỷ","300 m
2","10,m",,2 phòng ngủ,"Đại lộ Thăng Long, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 7,6 tỷ","75 m
2",6m,4 lầu,4 phòng ngủ,"Đường Trần Thanh Mại, Phường An Hải Bắc, Quận Sơn Trà,",0
": 6,3 tỷ","80 m
2",6m,3 lầu,4 phòng ngủ,"Đường Phước Trường 4, Phường Phước Mỹ, Quận Sơn Trà,",0
": 4,4 tỷ","103 m
2",6m,1 lầu,3 phòng ngủ,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 10,5 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Phan Thúc Duyện, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 5,1 tỷ","80 m
2",7m,3 lầu,3 phòng ngủ,"Đường Hòa Phú 3, Phường Hòa Minh, Quận Liên Chiểu,",0
": 4,9 tỷ","150 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Khánh An 6, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 6,4 tỷ","120 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Đỗ Đăng Đệ, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 10,8 tỷ","73 m
2","10,m",4 lầu,4 phòng ngủ,"Đường Phan Châu Trinh, Phường Phước Ninh, Quận Hải Châu,",0
": 3,7 tỷ","68 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Lê Phụ Trần, Phường Mân Thái, Quận Sơn Trà,",0
": 6,9 tỷ","85 m
2",15m,2 lầu,3 phòng ngủ,"Đường Trần Nhân Tông, Phường An Hải Bắc, Quận Sơn Trà,",0
": 17,9 tỷ","100 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà,",0
": 5,7 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Diệp Minh Châu, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 39,5 tỷ","730 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà,",0
": 4,7 tỷ","90 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Kiều Oánh Mậu, Phường Hòa Minh, Quận Liên Chiểu,",0
": 10,5 tỷ","130 m
2",15m,3 lầu,4 phòng ngủ,"Đường Trịnh Đình Thảo, Phường Khuê Trung, Quận Cẩm Lệ,",0
: 15 tỷ,"300 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Mân Thái, Quận Sơn Trà,",0
: 10 tỷ,"120 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Phạm Vấn, Phường Phước Mỹ, Quận Sơn Trà,",0
": 7,5 tỷ","130 m
2","10,m",1 lầu,6 phòng ngủ,"Đường Phạm Văn Xảo, Phường Nại Hiên Đông, Quận Sơn Trà,",0
: 35 tỷ,"415 m
2","7,5m",2 lầu,2 phòng ngủ,"Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 5,3 tỷ","105 m
2",6m,,5 phòng ngủ,"Đường An Hải Bắc 7, Phường An Hải Bắc, Quận Sơn Trà,",0
": 7,9 tỷ","90 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Bình, Phường Hòa Cường, Quận Hải Châu,",0
": 5,7 tỷ","100 m
2","10,m",,5 phòng ngủ,"Đường Khúc Hạo, Phường Nại Hiên Đông, Quận Sơn Trà,",0
": 6,2 tỷ","105 m
2","10,m",2 lầu,3 phòng ngủ,"Đường Phùng Hưng, Phường Thanh Khê Tây, Quận Thanh Khê,",0
": 7,9 tỷ","90 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Bình, Phường Hòa Cường, Quận Hải Châu,",0
": 5,7 tỷ","100 m
2","10,m",,5 phòng ngủ,"Đường Khúc Hạo, Phường Nại Hiên Đông, Quận Sơn Trà,",0
": 14,5 tỷ","310 m
2",10m,1 lầu,2 phòng ngủ,"Đường Phạm Cự Lượng, Phường An Hải Bắc, Quận Sơn Trà,",0
: 48 tỷ,"720 m
2",10m,1 lầu,3 phòng ngủ,"Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 4,5 tỷ","100 m
2",10m,4 lầu,5 phòng ngủ,"Đường Nguyễn Nhược Pháp, Phường Hòa Minh, Quận Liên Chiểu,",0
": 5,4 tỷ","85 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Vũ Đình Long, Phường Thọ Quang, Quận Sơn Trà,",0
": 3,6 tỷ","105 m
2",6m,,2 phòng ngủ,"Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà,",0
": 2,7 tỷ","46 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",0
": 3,5 tỷ","77 m
2",4m,2 lầu,2 phòng ngủ,"Đường Lương Thế Vinh, Phường Phước Mỹ, Quận Sơn Trà,",0
": 4,4 tỷ","82 m
2",6m,,4 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 4,7 tỷ","65 m
2",6m,4 lầu,4 phòng ngủ,"Đường Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
: 15 tỷ,"300 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Mân Thái, Quận Sơn Trà,",0
: 10 tỷ,"120 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Phạm Vấn, Phường Phước Mỹ, Quận Sơn Trà,",0
: 35 tỷ,"415 m
2","7,5m",2 lầu,2 phòng ngủ,"Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 7,5 tỷ","130 m
2","10,m",1 lầu,6 phòng ngủ,"Đường Phạm Văn Xảo, Phường Nại Hiên Đông, Quận Sơn Trà,",0
": 5,3 tỷ","105 m
2",6m,,5 phòng ngủ,"Đường An Hải Bắc 7, Phường An Hải Bắc, Quận Sơn Trà,",0
": 6,1 tỷ","108 m
2","7,5m",2 lầu,4 phòng ngủ,"Đường Nguyễn Thành Ý, Phường Hòa Cường, Quận Hải Châu,",0
: 12 tỷ,"200 m
2",10m,4 lầu,17 phòng ngủ,"Đường Phan Văn Định, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 17,5 tỷ","250 m
2",6m,,3 phòng ngủ,"Đường An Trung Đông 7, Phường An Hải Đông, Quận Sơn Trà,",0
": 1,07 tỷ","150 m
2",48m,2 lầu,3 phòng ngủ,"Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà,",0
": 10,5 tỷ","180 m
2",15m,2 lầu,4 phòng ngủ,"Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu,",0
": 7,2 tỷ","160 m
2",10m,2 lầu,3 phòng ngủ,"Đường Nguyễn Đình Chiểu, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 4,5 tỷ","110 m
2","7,5m",,3 phòng ngủ,"Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà,",0
: 20 tỷ,"165 m
2","10,m",3 lầu,4 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 8,5 tỷ","100 m
2",30m,,1 phòng ngủ,"Đường Hoàng Thị Loan, Phường Hòa Minh, Quận Liên Chiểu,",0
": 10,5 tỷ","300 m
2","7,5m",2 lầu,4 phòng ngủ,"Đường Nguyễn Thị Sáu, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 7,9 tỷ","225 m
2","7,5m",2 lầu,10 phòng ngủ,"Đường Nguyễn Khuyến, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
": 8,9 tỷ","200 m
2","7,5m",,3 phòng ngủ,"Đường Nguyễn Khuyến, Phường Hòa Khánh Nam, Quận Liên Chiểu,",0
": 10,5 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Phan Thúc Duyện, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 4,4 tỷ","103 m
2",6m,1 lầu,3 phòng ngủ,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 4,9 tỷ","150 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Khánh An 6, Phường Hòa Khánh Bắc, Quận Liên Chiểu,",0
": 5,1 tỷ","80 m
2",7m,3 lầu,3 phòng ngủ,"Đường Hòa Phú 3, Phường Hòa Minh, Quận Liên Chiểu,",0
": 6,4 tỷ","120 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Đỗ Đăng Đệ, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 10,8 tỷ","73 m
2","10,m",4 lầu,4 phòng ngủ,"Đường Phan Châu Trinh, Phường Phước Ninh, Quận Hải Châu,",0
": 17,9 tỷ","100 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà,",0
": 5,7 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Diệp Minh Châu, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 39,5 tỷ","730 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà,",0
": 4,7 tỷ","90 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Kiều Oánh Mậu, Phường Hòa Minh, Quận Liên Chiểu,",0
": 3,7 tỷ","68 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Lê Phụ Trần, Phường Mân Thái, Quận Sơn Trà,",0
": 19,8 tỷ","300 m
2","10,m",,2 phòng ngủ,"Đại lộ Thăng Long, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 6,3 tỷ","80 m
2",6m,3 lầu,4 phòng ngủ,"Đường Phước Trường 4, Phường Phước Mỹ, Quận Sơn Trà,",0
": 9,5 tỷ","100 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà,",0
": 11,5 tỷ","210 m
2",6m,1 lầu,3 phòng ngủ,"Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 6,9 tỷ","90 m
2",6m,2 lầu,3 phòng ngủ,"Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà,",0
": 9,5 tỷ","100 m
2","10,m",2 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu,",0
": 5,4 tỷ","100 m
2","5,5m",4 lầu,4 phòng ngủ,"Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
: 5 tỷ,"101 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 12,85 tỷ","126 m
2",/10m,3 lầu,9 phòng ngủ,"Đường Nguyễn Tất Thành, Phường Thanh Lộc Đán, Quận Thanh Khê,",0
: 14 tỷ,"120 m
2",6m,4 lầu,11 phòng ngủ,"Đường Nguyễn Xuân Khoát, Phường Phước Mỹ, Quận Sơn Trà,",0
": 6,5 tỷ","79 m
2",6m,3 lầu,4 phòng ngủ,"Đường Tiên Sơn 8, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,3 tỷ","81 m
2",6m,3 lầu,3 phòng ngủ,"Đường Tiên Sơn 20, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,1 tỷ","72 m
2",6m,3 lầu,3 phòng ngủ,"Đường Huỳnh Mẫn Đạt, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 6,1 tỷ","72 m
2",6m,3 lầu,3 phòng ngủ,"Đường Huỳnh Mẫn Đạt, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 2,1 tỷ","50 m
2",2m,2 lầu,2 phòng ngủ,"Đường Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà,",0
": 8,6 tỷ","88 m
2",33m,2 lầu,3 phòng ngủ,"Đường Trần Thánh Tông, Phường Mân Thái, Quận Sơn Trà,",0
": 6,4 tỷ","105 m
2","5,5m",2 lầu,2 phòng ngủ,"Đường Tiên Sơn 17, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 2,5 tỷ","120 m
2",5m5m,1 lầu,2 phòng ngủ,"Đường Mai Đăng Chơn, Phường Hòa Quý, Quận Ngũ Hành Sơn,",0
": 9,7 tỷ","75 m
2",11m,4 lầu,3 phòng ngủ,"Đường Tiểu La, Phường Hải Châu I, Quận Hải Châu,",0
": 5,4 tỷ","75 m
2",5m,1 lầu,2 phòng ngủ,"Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 2,7 tỷ","46 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",0
": 4,7 tỷ","65 m
2",6m,4 lầu,4 phòng ngủ,"Đường Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
: 7 tỷ,"100 m
2",11m,3 lầu,5 phòng ngủ,"Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 5,4 tỷ","85 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Vũ Đình Long, Phường Thọ Quang, Quận Sơn Trà,",0
: 11 tỷ,"80 m
2",11m,3 lầu,3 phòng ngủ,"Đường Hồ Thấu, Phường Phước Mỹ, Quận Sơn Trà,",0
": 5,4 tỷ","166 m
2",4m,,4 phòng ngủ,"Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,",0
": 8,5 tỷ","200 m
2",6m,,4 phòng ngủ,"Đường Trần Đình Đàn, Phường Phước Mỹ, Quận Sơn Trà,",0
": 2,9 tỷ","76 m
2","3,5m",,1 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 4,2 tỷ","112 m
2","7,5m",1 lầu,3 phòng ngủ,"Đường Ngô Thì Trí, Phường Thọ Quang, Quận Sơn Trà,",0
": 5,4 tỷ","100 m
2","5,5m",4 lầu,4 phòng ngủ,"Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
: 5 tỷ,"101 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 12,85 tỷ","126 m
2",/10m,3 lầu,9 phòng ngủ,"Đường Nguyễn Tất Thành, Phường Thanh Lộc Đán, Quận Thanh Khê,",0
: 14 tỷ,"120 m
2",6m,4 lầu,11 phòng ngủ,"Đường Nguyễn Xuân Khoát, Phường Phước Mỹ, Quận Sơn Trà,",0
": 6,5 tỷ","79 m
2",6m,3 lầu,4 phòng ngủ,"Đường Tiên Sơn 8, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,3 tỷ","81 m
2",6m,3 lầu,3 phòng ngủ,"Đường Tiên Sơn 20, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,1 tỷ","72 m
2",6m,3 lầu,3 phòng ngủ,"Đường Huỳnh Mẫn Đạt, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 6,1 tỷ","72 m
2",6m,3 lầu,3 phòng ngủ,"Đường Huỳnh Mẫn Đạt, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 2,1 tỷ","50 m
2",2m,2 lầu,2 phòng ngủ,"Đường Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà,",0
": 8,6 tỷ","88 m
2",33m,2 lầu,3 phòng ngủ,"Đường Trần Thánh Tông, Phường Mân Thái, Quận Sơn Trà,",0
": 6,4 tỷ","105 m
2","5,5m",2 lầu,2 phòng ngủ,"Đường Tiên Sơn 17, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 2,9 tỷ","76 m
2","3,5m",,1 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 5,4 tỷ","100 m
2","5,5m",4 lầu,4 phòng ngủ,"Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
: 5 tỷ,"101 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 12,85 tỷ","126 m
2",/10m,3 lầu,9 phòng ngủ,"Đường Nguyễn Tất Thành, Phường Thanh Lộc Đán, Quận Thanh Khê,",0
: 14 tỷ,"120 m
2",6m,4 lầu,11 phòng ngủ,"Đường Nguyễn Xuân Khoát, Phường Phước Mỹ, Quận Sơn Trà,",0
": 6,5 tỷ","79 m
2",6m,3 lầu,4 phòng ngủ,"Đường Tiên Sơn 8, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,3 tỷ","81 m
2",6m,3 lầu,3 phòng ngủ,"Đường Tiên Sơn 20, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,1 tỷ","72 m
2",6m,3 lầu,3 phòng ngủ,"Đường Huỳnh Mẫn Đạt, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 6,1 tỷ","72 m
2",6m,3 lầu,3 phòng ngủ,"Đường Huỳnh Mẫn Đạt, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 2,1 tỷ","50 m
2",2m,2 lầu,2 phòng ngủ,"Đường Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà,",0
": 8,6 tỷ","88 m
2",33m,2 lầu,3 phòng ngủ,"Đường Trần Thánh Tông, Phường Mân Thái, Quận Sơn Trà,",0
": 6,4 tỷ","105 m
2","5,5m",2 lầu,2 phòng ngủ,"Đường Tiên Sơn 17, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 2,5 tỷ","120 m
2",5m5m,1 lầu,2 phòng ngủ,"Đường Mai Đăng Chơn, Phường Hòa Quý, Quận Ngũ Hành Sơn,",0
": 9,7 tỷ","75 m
2",11m,4 lầu,3 phòng ngủ,"Đường Tiểu La, Phường Hải Châu I, Quận Hải Châu,",0
": 5,4 tỷ","75 m
2",5m,1 lầu,2 phòng ngủ,"Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 4,85 tỷ","70 m
2",7m,1 lầu,2 phòng ngủ,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 4,1 tỷ","50 m
2",4m,2 lầu,2 phòng ngủ,"Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
