price,area,road_width,floors,bedroom,loc,garage
": 2,7 tỷ","52 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 2,45 tỷ","50 m
2",2m,2 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 2,6 tỷ","42 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Trưng Nữ Vương, Phường Bình Hiên, Quận Hải Châu,",0
": 2,7 tỷ","50 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Bình Hiên, Quận Hải Châu,",0
": 3,6 tỷ","52 m
2",3m,4 lầu,4 phòng ngủ,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 2,9 tỷ","77 m
2",2m,2 lầu,3 phòng ngủ,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ,",0
": 2,45 tỷ","50 m
2",4m,2 lầu,2 phòng ngủ,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ,",0
": 1,85 tỷ","104 m
2","3,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Như Đỗ, Phường Hòa Thọ Tây, Quận Cẩm Lệ,",0
": 2,35 tỷ","71 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 2,75 tỷ","75 m
2",4m,2 lầu,5 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",0
": 2,75 tỷ","61 m
2",6m,2 lầu,2 phòng ngủ,"Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 2,3 tỷ","98 m
2",2m,1 lầu,2 phòng ngủ,"Đường Bùi Xương Trạch, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 2,7 tỷ","61 m
2",3m,2 lầu,2 phòng ngủ,"Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 2,85 tỷ","50 m
2","3,5m",2 lầu,2 phòng ngủ,"Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 6,65 tỷ","104 m
2",11m,3 lầu,3 phòng ngủ,"Đường Trần Quang Khải, Phường Thọ Quang, Quận Sơn Trà,",0
": 2,7 tỷ","104 m
2","2,5m",,3 phòng ngủ,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 2,9 tỷ","80 m
2","2,5m",2 lầu,6 phòng ngủ,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 3,8 tỷ","105 m
2",4m,2 lầu,2 phòng ngủ,"Đường Phan Khoang, Phường Hòa An, Quận Cẩm Lệ,",0
": 3,5 tỷ","100 m
2","4,5m",3 lầu,4 phòng ngủ,"Đường Bùi Hiển, Phường Hòa An, Quận Cẩm Lệ,",0
": 3,85 tỷ","90 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Bàu Gia Thượng 2, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 3,5 tỷ","70 m
2","5,5m",2 lầu,2 phòng ngủ,"Đường Trần Quý Hai, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 4,6 tỷ","100 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường An Hòa 8, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 3,4 tỷ","90 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Nhơn Hòa 4, Phường Hòa An, Quận Cẩm Lệ,",0
": 4,75 tỷ","56 m
2","3,5m",2 lầu,3 phòng ngủ,"Đường An Mỹ 4, Phường An Hải Tây, Quận Sơn Trà,",0
": 4,5 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Hoàng Đình Ái, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 1,99 tỷ","90 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Kim Liên 3, Phường Hòa Hiệp Bắc, Quận Liên Chiểu,",0
": 2,25 tỷ","32 m
2","3,5m",2 lầu,2 phòng ngủ,"Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu,",0
": 2,6 tỷ","40 m
2","5,5m",2 lầu,2 phòng ngủ,"Đường Lê Văn An, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 2,835 tỷ","100 m
2","7,5m",2 lầu,2 phòng ngủ,"Đường Trường Sơn, Phường Hòa Thọ Tây, Quận Cẩm Lệ,",0
": 3,9 tỷ","70 m
2","5,5m",3 lầu,6 phòng ngủ,"Đường Bình Hòa 8, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 3,55 tỷ","109 m
2","7,5m",1 lầu,1 phòng ngủ,"Đường Nguyễn Công Hoan, Phường Hòa An, Quận Cẩm Lệ,",0
": 3,95 tỷ","86 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Hòa An 8, Phường Hòa An, Quận Cẩm Lệ,",0
": 1,78 tỷ","13 m
2","7,5m",2 lầu,1 phòng ngủ,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê,",0
": 2,95 tỷ","100 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 2,9 tỷ","105 m
2",4m,1 lầu,2 phòng ngủ,"Đường Trường Chinh, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 2,7 tỷ","137 m
2",3m,1 lầu,1 phòng ngủ,"Đường Tôn Đản, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 2,65 tỷ","106 m
2","7,5m",2 lầu,3 phòng ngủ,"Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
