price,area,road_width,floors,bedroom,loc,garage
2.9,77.0,2.0,2.0,3.0,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",0
2.45,50.0,4.0,2.0,2.0,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",0
1.85,104.0,35.0,1.0,2.0,"Đường Nguyễn Như Đỗ, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",0
2.35,71.0,25.0,2.0,2.0,"Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
2.75,75.0,4.0,2.0,5.0,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",0
2.75,61.0,6.0,2.0,2.0,"Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
2.3,98.0,2.0,1.0,2.0,"Đường Bùi Xương Trạch, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",0
2.7,61.0,3.0,2.0,2.0,"Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
2.85,50.0,35.0,2.0,2.0,"Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",0
6.65,104.0,11.0,3.0,3.0,"Đường Trần Quang Khải, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",0
3.85,90.0,55.0,3.0,4.0,"Đường Bàu Gia Thượng 2, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
3.5,70.0,55.0,2.0,2.0,"Đường Trần Quý Hai, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
4.6,100.0,55.0,2.0,3.0,"Đường An Hòa 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",0
3.4,90.0,55.0,1.0,2.0,"Đường Nhơn Hòa 4, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",0
4.75,56.0,35.0,2.0,3.0,"Đường An Mỹ 4, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",0
4.5,100.0,75.0,2.0,3.0,"Đường Hoàng Đình Ái, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",0
1.99,90.0,55.0,1.0,2.0,"Đường Kim Liên 3, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng",0
2.25,3.0,35.0,2.0,2.0,"Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",0
2.6,40.0,55.0,2.0,2.0,"Đường Lê Văn An, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",0
2.835,100.0,75.0,2.0,2.0,"Đường Trường Sơn, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",0
2.9,105.0,4.0,1.0,2.0,"Đường Trường Chinh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
2.7,137.0,3.0,1.0,1.0,"Đường Tôn Đản, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",0
2.65,106.0,75.0,2.0,3.0,"Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
2.7,64.0,4.0,2.0,2.0,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",1
2.6,105.0,15.0,1.0,2.0,"Đường Trường Sơn, Xã Hòa Nhơn, Huyện Hòa Vang, Đà Nẵng",0
2.7,73.0,25.0,2.0,4.0,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",0
2.5,70.0,3.0,1.0,1.0,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",0
2.78,58.0,25.0,2.0,3.0,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",0
2.75,51.0,25.0,2.0,2.0,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng",0
2.29,31.0,25.0,2.0,2.0,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng",0
4.5,90.0,55.0,2.0,3.0,"Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",1
5.9,64.0,55.0,2.0,3.0,"Đường Lê Thị Hồng Gấm, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",1
5.2,8.0,75.0,2.0,2.0,"Đường Lê Thanh Nghị, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",1
